[2026-03-31 06:43:07] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 06:51:19] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 06:57:35] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 06:57:35] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 06:57:53] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 06:57:53] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 06:58:15] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 06:58:15] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 06:58:22] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 06:58:22] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 06:58:31] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 06:58:31] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 06:59:23] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 06:59:23] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 07:01:19] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 07:13:41] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 07:13:41] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 07:13:56] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 07:13:56] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 07:14:04] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 07:14:04] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 07:14:04] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 07:14:06] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 07:14:06] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 07:14:12] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 07:14:12] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 07:14:19] local.WARNING: Expected $image to be a string, got: {"image":null} 
[2026-03-31 07:14:19] local.WARNING: Expected $image to be a string, got: {"image":null} 
